,Variant Accuity Multiplier[Delta]
0,0.2088976942988008
1,-1.07573514013176
2,-0.595222241247007
3,-0.03993610223642169
4,2.015113350125941
5,-18.251928020565543
6,2.1090909090909125
7,3.422273781902548
8,2.525462481812514
9,-0.9139784946236487
10,5.404561074664166
11,5.925925925925921
12,4.786150712830947
13,-6.94291986827661
14,1.2592592592592553
15,2.9368232453065404
16,-0.1581027667984208
17,4.99519692603265
18,-1.2345679012345707
19,0.8854034910194681
20,2.541166903842245
21,1.5384615384615319
22,2.914798206278022
23,3.312629399585929
24,2.597402597402589
25,-0.506898957840948
26,-0.21482277121375293
27,2.2348559106057686
28,7.547169811320746
29,1.3661202185792416
30,2.5440313111545962
31,0.9743135518157663
32,10.030090270812423
33,2.5084418716835444
34,2.4870466321243563
35,2.2173412822926486
36,3.8321167883211675
37,5.9422750424448125
38,2.8609745194456853
39,3.8059701492537403
40,4.424778761061934
41,2.7200353825740877
42,4.722921914357681
43,11.741713570981855
44,1.1019283746556445
45,1.4669926650366722
46,-6.378132118451013
47,-34.455802766085355
48,2.450980392156861
49,3.962460896767475
50,2.949061662198379
51,3.6390101892285296
52,0.6181818181818178
53,3.3660319292171565
54,3.2133178474641872
55,0.6944444444419585
56,-19.098143236075966
57,0.0
58,0.9646302250866233
59,0.5861664712756782
60,2.1352313167235533
61,-0.4399748585778975
62,37.425944841675864
63,-0.18939393939323979
64,-2.187500000001382
65,1.1944811847888273e-11
66,1.9271948608065839
67,-0.37735849056467335
68,0.42553191489204684
69,3.8216560509606827
70,-0.5479452054856776
71,0.0
72,-1.4492753623244015
73,1.9444444444456601
74,-2.2448979591816776
75,0.4634994206275387
76,-5.202744853398497
77,-0.6042296072576817
78,-0.737463126840967
79,0.95541401273536
80,9.564100702840214e-12
81,-9.944158935321672e-12
82,-4.670329670329213
83,1.2294226502772324e-11
84,-1.1164274322176357
85,0.3605769230792521
86,-0.26773761713827526
87,0.0
88,0.3062787136282934
89,0.4999999999981822
90,0.47846889950526605
91,0.253807106598052
92,-1.404494382025831
93,-1.0266940451707731
94,6.827309236947228
95,-3.794642857135782
96,0.401606425707403
97,-10.26615969581421
98,-0.37878787877507203
99,-0.6097560975587298
100,-0.6782945736438591
101,-0.8426966292146238
102,-2.614379084967634
103,-4.964539007074102
104,-3.8626609442174082
105,-1.8768872848446016e-11
106,0.7792207792207829
107,-20.95238095238093
108,0.10282776349613772
109,1.036269430051815
110,0.4134183793999439
111,2.146263910969787
112,-0.5670103092783412
113,37.33572710951523
114,-0.38428693424423443
115,-2.657935285053926
116,-0.08019246190857542
117,2.6730637422892354
118,-0.3549245785270547
119,0.4048582995951341
120,5.6892778993435345
121,-0.866336633663369
122,0.18726591760299707
123,-1.3761467889908245
124,1.5086206896551702
125,-1.6727652901202368
126,0.35919540229886
127,-4.579124579124571
128,0.16142050040356076
129,-0.9776536312849025
130,0.6960556844547527
131,-0.36407766990292284
132,0.055524708495274404
133,-4.225352112676054
134,-0.3086419753086351
135,-0.8609556607834689
136,0.17349063150589353
137,-0.09738994935721836
138,0.024563989191852136
139,0.34280117531831567
140,0.4892367906066499
141,0.19023462270133393
142,0.16474464579901454
143,-1.9405450041288161
144,-0.18365472910928043
145,6.936466116701943
146,-4.070981210855956
147,0.5923532579429099
148,-9.501738122827334
149,-0.0
150,-0.46626439934173347
151,-0.8265980896399705
152,-0.8024966562639324
153,-3.1042128603104158
154,-3.7267080745341574
155,-6.1776061776061715
156,1.253918495297805
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,-28.571428571428545
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,3.448275862068962
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,-7.142857142857136
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
