Time,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW,CRW
,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1,0.844771,1.01492,1.08746,0.749948,0.861912,0.826934,0.903566,0.902182,0.888634,0.877728,0.777097,0.845563,0.815035,0.830992,0.903528,0.896639,0.893646,0.891983,0.884794,0.896309,0.834249,0.890803,0.89011,0.900837,0.913397,0.919417,0.847924,0.897361,0.941685,0.902083,0.840707,0.908116,0.892509,0.850003,0.903817,0.869741,0.937828,0.833788,0.89838,0.870937,0.90288,0.903413,0.796324,0.906076,0.846573,0.9188,0.867897,0.841795,0.91339,0.901597,0.837197,0.877904,0.962777,0.902809,0.912706,0.941078
2,0.844471,1.01708,1.07543,0.759774,0.859134,0.828113,0.904411,0.901751,0.889105,0.877614,0.770505,0.848035,0.806279,0.830028,0.905856,0.901993,0.897736,0.894923,0.885964,0.890105,0.834627,0.888709,0.88982,0.89933,0.917559,0.9225,0.84684,0.899472,0.945979,0.903555,0.842678,0.907628,0.891718,0.852287,0.902682,0.871457,0.940798,0.824874,0.899601,0.872485,0.905882,0.898857,0.793445,0.905907,0.849523,0.921428,0.863316,0.842152,0.915064,0.898607,0.82931,0.878026,0.964612,0.89627,0.916259,0.943812
3,0.847196,1.02574,1.05849,0.764882,0.860508,0.827731,0.911722,0.902589,0.889786,0.877199,0.773064,0.849895,0.79066,0.828203,0.909662,0.898697,0.900319,0.897686,0.886527,0.891079,0.837433,0.905316,0.88813,0.901305,0.920584,0.924818,0.848143,0.901375,0.948602,0.905922,0.847323,0.912282,0.892793,0.853326,0.904245,0.87311,0.946435,0.79322,0.902593,0.874154,0.904016,0.899601,0.792035,0.906947,0.852502,0.927201,0.864187,0.843268,0.918702,0.905917,0.834983,0.878141,0.96525,0.897986,0.919224,0.948919
4,0.850328,1.02625,1.03778,0.771273,0.865677,0.826617,0.922162,0.899491,0.890871,0.882098,0.773105,0.852353,0.790193,0.825492,0.907562,0.900154,0.902861,0.899835,0.888243,0.893867,0.840268,0.906731,0.890744,0.900151,0.92199,0.929894,0.85137,0.903335,0.942949,0.911477,0.852804,0.914174,0.891174,0.858319,0.902666,0.875481,0.951351,0.792295,0.905385,0.88356,0.904598,0.901092,0.790246,0.901705,0.854889,0.932405,0.867652,0.848773,0.919849,0.909184,0.842498,0.881254,0.964999,0.900429,0.922137,0.950931
5,0.862563,1.02822,1.01566,0.782737,0.871085,0.823853,0.921549,0.895351,0.890579,0.882779,0.773351,0.85634,0.789243,0.82028,0.905492,0.903864,0.904558,0.901434,0.888067,0.896012,0.852101,0.907284,0.890636,0.892703,0.924436,0.931573,0.862623,0.899861,0.940371,0.907681,0.849181,0.914569,0.891187,0.860847,0.902263,0.876034,0.945056,0.791185,0.905039,0.891636,0.902356,0.901369,0.791416,0.892014,0.855862,0.926371,0.875654,0.855817,0.918134,0.91075,0.843039,0.88171,0.963763,0.90236,0.927932,0.944993
6,0.865986,1.03272,1.01709,0.777449,0.871376,0.820802,0.916067,0.894922,0.890185,0.881463,0.771534,0.857462,0.791508,0.81205,0.906474,0.910296,0.910644,0.90015,0.885998,0.90483,0.85225,0.908019,0.889448,0.889019,0.930984,0.928249,0.864819,0.902971,0.947174,0.905333,0.844568,0.91465,0.889352,0.859185,0.900931,0.875875,0.938664,0.792812,0.912372,0.889561,0.903166,0.902617,0.788612,0.888365,0.856946,0.922565,0.881311,0.851749,0.914828,0.912113,0.842833,0.88122,0.966041,0.904162,0.927463,0.944383
7,0.865075,1.03769,1.01436,0.784018,0.868925,0.825782,0.91855,0.907131,0.894171,0.886114,0.765506,0.857734,0.788799,0.809161,0.911696,0.908888,0.907623,0.895739,0.883396,0.903629,0.850788,0.917016,0.89815,0.901324,0.929958,0.927281,0.862427,0.899669,0.953049,0.903791,0.847634,0.924662,0.898522,0.860028,0.911752,0.874839,0.936187,0.792162,0.913423,0.887947,0.908241,0.915846,0.784366,0.903739,0.855667,0.923096,0.879633,0.849553,0.919069,0.921606,0.846082,0.885615,0.970753,0.912936,0.929402,0.951396
8,0.865409,1.03938,1.03882,0.80223,0.866038,0.829278,0.925552,0.907561,0.895521,0.88747,0.760935,0.858352,0.784544,0.80658,0.918352,0.907569,0.904687,0.897115,0.887532,0.902221,0.850096,0.92065,0.899409,0.904094,0.927649,0.930794,0.860588,0.897991,0.963116,0.907213,0.853259,0.92618,0.900256,0.8653,0.912396,0.874898,0.94298,0.790923,0.911158,0.887532,0.913734,0.916901,0.780808,0.906336,0.854163,0.927891,0.877768,0.84843,0.923361,0.921947,0.848333,0.886431,0.97669,0.912923,0.929541,0.958801
9,0.866285,1.03931,1.04106,0.811525,0.865982,0.829479,0.936104,0.908988,0.895901,0.888183,0.75997,0.858897,0.784726,0.804232,0.928786,0.912042,0.906088,0.902859,0.891785,0.899759,0.85193,0.923034,0.900075,0.904228,0.929357,0.936462,0.861016,0.900309,0.974235,0.911804,0.859174,0.924684,0.901253,0.868942,0.913393,0.874249,0.950395,0.7799,0.911143,0.89168,0.923467,0.916855,0.782009,0.908293,0.855426,0.935094,0.876676,0.849636,0.933905,0.922396,0.850965,0.886588,0.983412,0.911234,0.934704,0.971005
