# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-04-03 21:36:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/hyunjimoon/.cmdstan/cmdstan-2.31.0/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 61463
# output
#   file = /Users/hyunjimoon/Dropbox/WINcode/VaccineMisinf/V79/bernoulli-20230403173630_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.05082
# Diagonal elements of inverse mass matrix:
# 0.516696
-7.61354,0.809883,1.05082,1,1,0,7.7102,0.432544
-7.41447,0.723385,1.05082,1,3,0,8.75282,0.126896
-6.90359,1,1.05082,1,3,0,7.29487,0.184944
-7.32253,0.960244,1.05082,2,3,0,7.43008,0.3968
-7.00476,1,1.05082,1,1,0,7.26667,0.345799
-9.30015,0.387314,1.05082,1,1,0,9.32707,0.57115
-7.61419,1,1.05082,2,3,0,9.30708,0.113374
-7.60452,1,1.05082,1,1,0,7.79941,0.113968
-7.42959,1,1.05082,1,1,0,7.68251,0.125772
-6.74962,0.975126,1.05082,1,3,0,7.34825,0.242982
-6.75148,0.999416,1.05082,1,1,0,6.75175,0.239698
-7.12138,0.917363,1.05082,2,3,0,7.27942,0.153567
-6.75433,0.95456,1.05082,2,3,0,7.29038,0.264213
-6.90868,0.938734,1.05082,2,3,0,7.0415,0.18397
-6.96055,0.903507,1.05082,2,3,0,7.83306,0.174953
-6.96923,0.918453,1.05082,2,3,0,7.55351,0.338569
-6.82514,1,1.05082,1,1,0,6.93086,0.301092
-6.75328,1,1.05082,1,3,0,6.80081,0.262958
-6.74862,0.878257,1.05082,2,3,0,7.30902,0.245686
-6.77871,0.991661,1.05082,1,3,0,6.78395,0.281785
-6.77597,0.845629,1.05082,2,3,0,7.45257,0.22125
-7.44062,0.868501,1.05082,2,3,0,7.71419,0.124962
-7.03195,1,1.05082,1,1,0,7.3622,0.164515
-7.64429,0.878472,1.05082,1,1,0,7.64479,0.111553
-6.74851,1,1.05082,2,3,0,7.56126,0.246118
-6.79755,0.97044,1.05082,2,3,0,6.89168,0.2121
-6.82463,0.992392,1.05082,1,1,0,6.83456,0.203324
-6.88707,0.920032,1.05082,2,3,0,7.41972,0.18824
-6.88707,0.59156,1.05082,1,3,0,9.52979,0.18824
-6.8112,0.97752,1.05082,2,3,0,7.08141,0.207414
-6.90835,0.989886,1.05082,2,3,0,6.91388,0.3248
-10.1864,0.261542,1.05082,1,1,0,10.1881,0.622327
-11.4154,0.789325,1.05082,2,3,0,12.7144,0.680146
-8.13037,0.666991,1.05082,1,3,0,13.7928,0.0875856
-6.74837,1,1.05082,2,3,0,7.89893,0.253294
-6.76457,0.990578,1.05082,2,3,0,6.79019,0.273185
-6.76497,0.999863,1.05082,1,1,0,6.77043,0.273471
-6.76497,0.970732,1.05082,1,1,0,6.821,0.273471
-6.76497,0.799226,1.05082,1,3,0,7.51661,0.273471
-6.92644,0.944535,1.05082,1,1,0,6.92647,0.329111
-6.92644,0.274882,1.05082,1,1,0,8.7877,0.329111
-7.50023,0.796843,1.05082,1,1,0,7.53284,0.419424
-7.70469,0.597218,1.05082,1,3,0,9.18522,0.108044
-7.25313,0.936671,1.05082,1,3,0,8.47753,0.38709
-6.97232,1,1.05082,1,1,0,7.20263,0.339219
-6.82467,1,1.05082,1,1,0,6.9323,0.300931
-6.78909,0.888428,1.05082,2,3,0,7.29305,0.215365
-6.88232,0.972695,1.05082,1,3,0,6.9598,0.31818
-6.75912,1,1.05082,1,3,0,6.83943,0.268928
-6.74984,0.998208,1.05082,2,3,0,6.76825,0.242508
-6.74804,0.999515,1.05082,2,3,0,6.75244,0.250851
-7.91624,0.621839,1.05082,2,3,0,9.17268,0.0970565
-8.78247,0.892552,1.05082,1,1,0,8.81949,0.0656202
-9.65662,0.9228,1.05082,1,1,0,9.74856,0.0460816
-10.5176,0.944663,1.05082,1,1,0,10.6589,0.0332229
-10.2133,1,1.05082,1,1,0,10.8411,0.0372317
-10.6502,0.975356,1.05082,1,1,0,10.9437,0.0316298
-10.4142,1,1.05082,1,1,0,11.0154,0.0345281
-7.64504,1,1.05082,1,3,0,10.2664,0.111508
-8.88904,0.897581,1.05082,2,3,0,8.94976,0.543666
-7.56254,1,1.05082,1,1,0,8.57585,0.426747
-6.85427,1,1.05082,2,3,0,7.29598,0.310342
-7.22554,0.939994,1.05082,2,3,0,7.23997,0.142814
-6.9514,0.9393,1.05082,2,3,0,7.53378,0.33474
-7.33236,0.860421,1.05082,1,1,0,7.38015,0.398131
-6.76753,0.723368,1.05082,2,3,0,8.42321,0.22587
-6.85051,0.986925,1.05082,2,3,0,6.87341,0.309221
-6.76301,1,1.05082,1,1,0,6.82043,0.272049
-6.76301,0.723666,1.05082,1,3,0,7.5044,0.272049
-6.74802,0.938497,1.05082,2,3,0,7.02884,0.250271
-7.94798,0.728001,1.05082,1,3,0,8.28671,0.0955591
-10.9352,0.785473,1.05082,2,3,0,11.6249,0.0284852
-11.5598,0.973515,1.05082,1,1,0,11.8212,0.022725
-12.6259,0.965728,1.05082,1,1,0,12.779,0.0155838
-14.1969,0.966745,1.05082,1,1,0,14.2631,0.00904953
-13.1166,1,1.05082,1,1,0,14.3524,0.0131343
-6.80051,0.660339,1.05082,2,7,0,11.4849,0.291878
-8.1339,0.650429,1.05082,1,3,0,8.84774,0.0874407
-8.8501,0.972199,1.05082,2,3,0,8.92707,0.0637797
-8.02971,1,1.05082,1,1,0,8.79851,0.0918587
-8.54258,0.935267,1.05082,1,1,0,8.65148,0.0727305
-7.45844,1,1.05082,2,3,0,8.36994,0.123676
-6.77702,0.996603,1.05082,1,3,0,7.33348,0.22073
-6.76206,1,1.05082,2,3,0,6.77232,0.271321
-6.75162,1,1.05082,1,1,0,6.75888,0.260699
-6.94911,0.784497,1.05082,2,3,0,7.67326,0.334238
-6.94911,0.61138,1.05082,1,1,0,7.69868,0.334238
-6.94911,0.49242,1.05082,1,1,0,7.99649,0.334238
-6.99225,0.994534,1.05082,2,3,0,7.06043,0.343308
-6.78127,0.990751,1.05082,1,3,0,7.01593,0.218726
-6.83246,0.995166,1.05082,2,3,0,6.83573,0.201121
-6.94385,0.970938,1.05082,1,1,0,6.95172,0.177696
-6.8744,1,1.05082,1,1,0,6.94823,0.190923
-6.8744,0.974781,1.05082,1,1,0,6.96649,0.190923
-6.98262,0.972758,1.05082,1,1,0,6.99926,0.171521
-7.32963,0.911808,1.05082,1,3,0,7.70475,0.397763
-8.97769,0.498578,1.05082,1,1,0,9.12617,0.549836
-6.75946,1,1.05082,1,3,0,8.16047,0.269217
-6.97947,0.917444,1.05082,2,3,0,7.14863,0.171998
-6.75345,0.960682,1.05082,2,3,0,7.25484,0.237131
-7.76279,0.781209,1.05082,1,3,0,7.96403,0.104837
-6.97397,1,1.05082,1,3,0,7.59692,0.172841
-6.7561,0.986548,1.05082,1,3,0,6.97171,0.266107
-7.227,0.878243,1.05082,1,3,0,7.23297,0.383276
-7.227,0.624423,1.05082,1,1,0,8.00683,0.383276
-7.227,0.208629,1.05082,1,1,0,9.4668,0.383276
-7.44098,0.91608,1.05082,1,1,0,7.6064,0.41219
-7.29059,0.784567,1.05082,1,3,0,8.34945,0.136896
-7.03188,0.958404,1.05082,2,3,0,7.71197,0.351014
-8.81243,0.479093,1.05082,1,1,0,8.85442,0.538218
-8.19485,1,1.05082,1,1,0,9.09774,0.48954
-7.10552,1,1.05082,1,1,0,7.82541,0.364119
-6.75221,0.636403,1.05082,2,3,0,8.60576,0.261553
-6.85317,0.735248,1.05082,2,3,0,8.06561,0.195796
-7.06521,0.947451,1.05082,1,1,0,7.06874,0.160214
-7.079,0.937274,1.05082,2,3,0,7.63895,0.359556
-7.79215,0.882155,1.05082,2,3,0,7.87476,0.451654
-8.2335,0.828506,1.05082,1,1,0,8.62214,0.492877
-6.74869,1,1.05082,1,3,0,7.73612,0.254598
-7.95965,0.785992,1.05082,2,3,0,8.13344,0.0950171
-7.95965,0.874067,1.05082,1,1,0,8.9084,0.0950171
-13.3837,0.606818,1.05082,2,3,0,13.6366,0.0119729
-15.489,0.966954,1.05082,1,1,0,15.4994,0.00582577
-13.8669,1,1.05082,1,1,0,15.5339,0.0101352
-9.65018,0.999264,1.05082,2,3,0,14.2754,0.0461975
-9.75823,0.99204,1.05082,1,1,0,10.1402,0.044298
-10.6896,0.942859,1.05082,1,1,0,10.8189,0.0311729
-6.79002,1,1.05082,2,3,0,9.93532,0.21499
-7.2569,0.830405,1.05082,2,3,0,7.80177,0.387633
-6.74868,1,1.05082,1,3,0,7.11904,0.245495
-6.88032,0.966953,1.05082,1,3,0,6.89355,0.189652
-6.87285,0.969101,1.05082,2,3,0,7.17651,0.191263
-6.87285,0.49675,1.05082,1,3,0,10.249,0.191263
-6.75412,0.787563,1.05082,2,3,0,8.27766,0.236371
-7.16948,0.892666,1.05082,1,3,0,7.21728,0.374524
-6.86025,1,1.05082,2,3,0,7.15795,0.194114
-6.8885,0.923207,1.05082,2,3,0,7.51831,0.187945
-7.70475,0.810977,1.05082,1,3,0,7.99291,0.442518
-7.36038,0.752661,1.05082,1,3,0,8.73714,0.13108
-8.18212,0.868623,1.05082,1,1,0,8.18841,0.0854998
-7.91993,1,1.05082,2,3,0,8.30359,0.0968809
-7.13046,1,1.05082,1,1,0,7.76549,0.152554
-7.22033,0.980775,1.05082,1,1,0,7.29499,0.143311
-7.79494,0.896822,1.05082,1,1,0,7.80927,0.103128
-8.40652,0.916505,1.05082,1,1,0,8.47217,0.0772216
-7.60959,1,1.05082,1,1,0,8.30926,0.113656
-6.88849,1,1.05082,2,3,0,7.39761,0.319798
-10.9474,0.323211,1.05082,1,3,0,10.9476,0.659615
-7.17361,1,1.05082,1,3,0,10.9033,0.147952
-7.86808,0.939791,1.05082,2,3,0,7.93713,0.459291
-7.03515,1,1.05082,1,1,0,7.59125,0.351625
-6.93503,0.941727,1.05082,2,3,0,7.35437,0.179202
-6.95775,0.994342,1.05082,1,1,0,7.00384,0.175403
-7.85131,0.880028,1.05082,1,3,0,7.86708,0.100235
-6.88565,1,1.05082,1,3,0,7.66903,0.188533
-6.74845,0.995946,1.05082,1,3,0,6.86705,0.25367
-7.25966,0.870495,1.05082,1,3,0,7.37409,0.139643
-6.95496,0.934577,1.05082,2,3,0,8.56193,0.175855
-6.75804,0.821201,1.05082,2,3,0,8.13863,0.267963
-7.19494,0.877073,1.05082,1,3,0,7.3396,0.145792
-7.0457,1,1.05082,1,1,0,7.20666,0.1627
-6.74943,0.959929,1.05082,2,3,0,7.22555,0.256661
-6.94363,0.948553,1.05082,1,3,0,6.94991,0.333023
-6.94363,0.549366,1.05082,1,1,0,7.84047,0.333023
-6.85281,1,1.05082,2,3,0,6.91325,0.195883
-7.20795,0.956107,1.05082,2,3,0,7.32673,0.380433
-7.20795,0.820463,1.05082,1,1,0,7.63209,0.380433
-7.21766,0.996086,1.05082,1,1,0,7.39145,0.381889
-6.97934,1,1.05082,1,1,0,7.18903,0.340679
-6.90426,1,1.05082,1,1,0,6.99896,0.323793
-6.91807,0.994821,1.05082,1,1,0,6.97233,0.327142
-6.91807,0.318377,1.05082,1,1,0,8.57636,0.327142
-6.83491,0.946016,1.05082,2,3,0,7.1837,0.200453
-6.82294,1,1.05082,1,1,0,6.85101,0.203814
-6.75099,0.99994,1.05082,2,3,0,6.82122,0.259716
-7.11766,0.904293,1.05082,1,3,0,7.12661,0.366156
-6.76838,1,1.05082,1,3,0,6.99189,0.275772
-7.15289,0.86444,1.05082,2,3,0,7.42421,0.150121
-7.91214,0.863377,1.05082,1,1,0,7.91285,0.0972526
-8.36444,0.939307,1.05082,1,1,0,8.47442,0.0786867
-6.86563,0.988094,1.05082,1,3,0,8.17951,0.192875
-6.9094,0.921553,1.05082,2,3,0,7.37528,0.325055
-6.89424,1,1.05082,1,1,0,6.95406,0.321278
-8.42861,0.69601,1.05082,2,3,0,8.46568,0.0764674
-7.45275,1,1.05082,1,1,0,8.27404,0.124085
-7.45275,0.827093,1.05082,1,3,0,9.92722,0.124085
-6.7618,0.987119,1.05082,1,3,0,7.34199,0.229645
-7.44707,0.575641,1.05082,2,3,0,9.11192,0.412947
-7.44707,0.6226,1.05082,1,1,0,8.30438,0.412947
-7.02413,1,1.05082,1,1,0,7.35023,0.349547
-7.02413,0.0904511,1.05082,1,1,0,10.4566,0.349547
-7.0031,1,1.05082,2,3,0,7.10729,0.345472
-6.78223,0.994078,1.05082,2,3,0,7.06351,0.218293
-8.45723,0.753119,1.05082,2,3,0,8.74644,0.0755052
-8.64412,0.978682,1.05082,1,1,0,8.8901,0.0696035
-7.83329,1,1.05082,1,1,0,8.5715,0.101145
